Zip Code XXXXX,Type,Year,Currency,Amount,Zip_Code
Zip Code 10010,Families with Children,2018,Dollars,254530.4935,10010
Zip Code 10010,Families with Children,2017,Dollars,257213.1191,10010
Zip Code 10010,Families,2019,Dollars,229709,10010
Zip Code 10010,Families with Children,2019,Dollars,250001,10010
Zip Code 10010,Families without Children,2019,Dollars,204877,10010
Zip Code 10010,Families,2018,Dollars,217686.8429,10010
Zip Code 10010,Families without Children,2017,Dollars,157828.5914,10010
Zip Code 10010,All Households,2019,Dollars,132988,10010
Zip Code 10010,Families without Children,2018,Dollars,186606.7577,10010
Zip Code 10010,Families,2017,Dollars,169425,10010
Zip Code 10010,All Households,2018,Dollars,120059.5173,10010
Zip Code 10010,All Households,2017,Dollars,120025.2798,10010
Zip Code 10011,All Households,2018,Dollars,130943.1977,10011
Zip Code 10011,All Households,2017,Dollars,128498.0942,10011
Zip Code 10011,Families without Children,2017,Dollars,188362.6371,10011
Zip Code 10011,All Households,2019,Dollars,138272,10011
Zip Code 10011,Families,2018,Dollars,219319.904,10011
Zip Code 10011,Families without Children,2018,Dollars,204515.4516,10011
Zip Code 10011,Families,2017,Dollars,204901.5208,10011
Zip Code 10011,Families without Children,2019,Dollars,207181,10011
Zip Code 10011,Families with Children,2019,Dollars,250001,10011
Zip Code 10011,Families,2019,Dollars,249545,10011
Zip Code 10011,Families with Children,2017,Dollars,234399.9307,10011
Zip Code 10011,Families with Children,2018,Dollars,254530.4935,10011
Zip Code 10012,Families with Children,2018,Dollars,207378.3991,10012
Zip Code 10012,Families with Children,2017,Dollars,199238.3767,10012
Zip Code 10012,Families,2017,Dollars,157413.5028,10012
Zip Code 10012,Families without Children,2018,Dollars,151484.7445,10012
Zip Code 10012,Families without Children,2017,Dollars,146364.6357,10012
Zip Code 10012,Families without Children,2019,Dollars,145000,10012
Zip Code 10012,Families,2019,Dollars,151028,10012
Zip Code 10012,Families,2018,Dollars,161605.8545,10012
Zip Code 10012,Families with Children,2019,Dollars,166534,10012
Zip Code 10012,All Households,2017,Dollars,109050.4612,10012
Zip Code 10012,All Households,2018,Dollars,111012.5216,10012
Zip Code 10012,All Households,2019,Dollars,106467,10012
Zip Code 10013,All Households,2018,Dollars,107352.3878,10013
Zip Code 10013,All Households,2017,Dollars,110609.651,10013
Zip Code 10013,Families without Children,2018,Dollars,101943.1274,10013
Zip Code 10013,Families without Children,2019,Dollars,104234,10013
Zip Code 10013,Families,2019,Dollars,163951,10013
Zip Code 10013,Families,2017,Dollars,134278.0471,10013
Zip Code 10013,Families,2018,Dollars,138612.6798,10013
Zip Code 10013,Families without Children,2017,Dollars,114897.162,10013
Zip Code 10013,All Households,2019,Dollars,113191,10013
Zip Code 10013,Families with Children,2018,Dollars,228245.7436,10013
Zip Code 10013,Families with Children,2017,Dollars,223579.4668,10013
Zip Code 10013,Families with Children,2019,Dollars,250001,10013
Zip Code 10014,Families with Children,2019,Dollars,250001,10014
Zip Code 10014,Families,2019,Dollars,224625,10014
Zip Code 10014,Families with Children,2017,Dollars,237454.6911,10014
Zip Code 10014,Families without Children,2019,Dollars,191483,10014
Zip Code 10014,Families,2018,Dollars,205101.8875,10014
Zip Code 10014,Families,2017,Dollars,204850.4169,10014
Zip Code 10014,Families with Children,2018,Dollars,254530.4935,10014
Zip Code 10014,All Households,2019,Dollars,133501,10014
Zip Code 10014,All Households,2017,Dollars,133467.6856,10014
Zip Code 10014,All Households,2018,Dollars,128894.7445,10014
Zip Code 10014,Families without Children,2018,Dollars,179301.7618,10014
Zip Code 10014,Families without Children,2017,Dollars,178543.392,10014
Zip Code 10016,Families with Children,2017,Dollars,183824.8213,10016
Zip Code 10016,Families without Children,2017,Dollars,165987.482,10016
Zip Code 10016,Families,2017,Dollars,174083.7964,10016
Zip Code 10016,All Households,2019,Dollars,126628,10016
Zip Code 10016,All Households,2017,Dollars,113940.7895,10016
Zip Code 10016,All Households,2018,Dollars,119123.867,10016
Zip Code 10016,Families without Children,2018,Dollars,204736.3832,10016
Zip Code 10016,Families,2018,Dollars,203678.5587,10016
Zip Code 10016,Families,2019,Dollars,206816,10016
Zip Code 10016,Families without Children,2019,Dollars,205769,10016
Zip Code 10016,Families with Children,2018,Dollars,197543.3802,10016
Zip Code 10016,Families with Children,2019,Dollars,230733,10016
Zip Code 10017,Families with Children,2019,Dollars,250001,10017
Zip Code 10017,Families without Children,2018,Dollars,199528.7101,10017
Zip Code 10017,Families,2018,Dollars,204730.2745,10017
Zip Code 10017,Families,2019,Dollars,218875,10017
Zip Code 10017,Families,2017,Dollars,220115.8753,10017
Zip Code 10017,Families without Children,2017,Dollars,219911.4598,10017
Zip Code 10017,Families without Children,2019,Dollars,218161,10017
Zip Code 10017,Families with Children,2018,Dollars,254530.4935,10017
Zip Code 10017,Families with Children,2017,Dollars,260735.115,10017
Zip Code 10017,All Households,2017,Dollars,123555.6191,10017
Zip Code 10017,All Households,2019,Dollars,131045,10017
Zip Code 10017,All Households,2018,Dollars,129816.1412,10017
Zip Code 10018,Families without Children,2017,Dollars,124957.3255,10018
Zip Code 10018,All Households,2019,Dollars,122484,10018
Zip Code 10018,All Households,2017,Dollars,112492.151,10018
Zip Code 10018,Families without Children,2018,Dollars,168953.6114,10018
Zip Code 10018,Families with Children,2017,Dollars,167622.8061,10018
Zip Code 10018,Families,2019,Dollars,185688,10018
Zip Code 10018,Families without Children,2019,Dollars,190417,10018
Zip Code 10018,Families,2017,Dollars,142100.0693,10018
Zip Code 10018,Families,2018,Dollars,146112.1363,10018
Zip Code 10018,Families with Children,2018,Dollars,101811.7902,10018
Zip Code 10018,All Households,2018,Dollars,110887.2931,10018
Zip Code 10019,All Households,2018,Dollars,100623.6466,10019
Zip Code 10019,All Households,2019,Dollars,103792,10019
Zip Code 10019,All Households,2017,Dollars,103316.3975,10019
Zip Code 10019,Families without Children,2017,Dollars,154180.4003,10019
Zip Code 10019,Families,2019,Dollars,176972,10019
Zip Code 10019,Families without Children,2019,Dollars,180424,10019
Zip Code 10019,Families without Children,2018,Dollars,166737.1687,10019
Zip Code 10019,Families with Children,2019,Dollars,167896,10019
Zip Code 10019,Families with Children,2017,Dollars,167780.2895,10019
Zip Code 10019,Families,2018,Dollars,165613.1666,10019
Zip Code 10019,Families,2017,Dollars,160677.8934,10019
Zip Code 10019,Families with Children,2018,Dollars,160060.3515,10019
Zip Code 10021,All Households,2018,Dollars,120432.1485,10021
Zip Code 10021,All Households,2019,Dollars,122169,10021
Zip Code 10021,All Households,2017,Dollars,129159.3158,10021
Zip Code 10021,Families with Children,2017,Dollars,260735.115,10021
Zip Code 10021,Families,2017,Dollars,251010.777,10021
Zip Code 10021,Families with Children,2018,Dollars,250653.5005,10021
Zip Code 10021,Families with Children,2019,Dollars,250001,10021
Zip Code 10021,Families without Children,2018,Dollars,236510.8248,10021
Zip Code 10021,Families without Children,2017,Dollars,238524.7438,10021
Zip Code 10021,Families without Children,2019,Dollars,238064,10021
Zip Code 10021,Families,2018,Dollars,237555.4137,10021
Zip Code 10021,Families,2019,Dollars,240453,10021
Zip Code 10022,Families without Children,2017,Dollars,220268.144,10022
Zip Code 10022,Families with Children,2019,Dollars,250001,10022
Zip Code 10022,Families without Children,2019,Dollars,250001,10022
Zip Code 10022,Families,2019,Dollars,250001,10022
Zip Code 10022,Families,2017,Dollars,258864.0873,10022
Zip Code 10022,Families without Children,2018,Dollars,251559.6255,10022
Zip Code 10022,Families with Children,2018,Dollars,254530.4935,10022
Zip Code 10022,Families with Children,2017,Dollars,260735.115,10022
Zip Code 10022,Families,2018,Dollars,254530.4935,10022
Zip Code 10022,All Households,2019,Dollars,150718,10022
Zip Code 10022,All Households,2017,Dollars,138927.4571,10022
Zip Code 10022,All Households,2018,Dollars,137815.4935,10022
Zip Code 10023,All Households,2018,Dollars,132815.5165,10023
Zip Code 10023,All Households,2019,Dollars,132605,10023
Zip Code 10023,All Households,2017,Dollars,129272.9958,10023
Zip Code 10023,Families with Children,2017,Dollars,260735.115,10023
Zip Code 10023,Families with Children,2018,Dollars,254530.4935,10023
Zip Code 10023,Families with Children,2019,Dollars,249033,10023
Zip Code 10023,Families,2017,Dollars,221255.8047,10023
Zip Code 10023,Families,2018,Dollars,223646.9051,10023
Zip Code 10023,Families,2019,Dollars,228389,10023
Zip Code 10023,Families without Children,2019,Dollars,216875,10023
Zip Code 10023,Families without Children,2018,Dollars,199700.772,10023
Zip Code 10023,Families without Children,2017,Dollars,197280.7853,10023
Zip Code 10024,Families without Children,2018,Dollars,194191.7361,10024
Zip Code 10024,Families,2017,Dollars,216986.0235,10024
Zip Code 10024,Families without Children,2019,Dollars,218864,10024
Zip Code 10024,Families,2018,Dollars,225792.0795,10024
Zip Code 10024,Families,2019,Dollars,246034,10024
Zip Code 10024,Families with Children,2019,Dollars,250001,10024
Zip Code 10024,Families with Children,2018,Dollars,254530.4935,10024
Zip Code 10024,Families with Children,2017,Dollars,260735.115,10024
Zip Code 10024,All Households,2017,Dollars,131521.5665,10024
Zip Code 10024,All Households,2018,Dollars,134053.5479,10024
Zip Code 10024,All Households,2019,Dollars,143623,10024
Zip Code 10024,Families without Children,2017,Dollars,181007.8504,10024
Zip Code 10025,Families with Children,2017,Dollars,189789.374,10025
Zip Code 10025,Families,2017,Dollars,143620.6704,10025
Zip Code 10025,Families,2018,Dollars,135123.5898,10025
Zip Code 10025,Families,2019,Dollars,133439,10025
Zip Code 10025,Families without Children,2017,Dollars,120724.0471,10025
Zip Code 10025,Families without Children,2018,Dollars,116154.017,10025
Zip Code 10025,Families without Children,2019,Dollars,113859,10025
Zip Code 10025,All Households,2019,Dollars,91624,10025
Zip Code 10025,Families with Children,2019,Dollars,215882,10025
Zip Code 10025,Families with Children,2018,Dollars,191764.543,10025
Zip Code 10025,All Households,2018,Dollars,87486.87128,10025
Zip Code 10025,All Households,2017,Dollars,85887.8892,10025
Zip Code 10026,Families,2019,Dollars,66157,10026
Zip Code 10026,Families without Children,2017,Dollars,68826.49446,10026
Zip Code 10026,Families with Children,2019,Dollars,69625,10026
Zip Code 10026,All Households,2018,Dollars,59950.85452,10026
Zip Code 10026,Families with Children,2018,Dollars,60245.09059,10026
Zip Code 10026,All Households,2019,Dollars,59691,10026
Zip Code 10026,Families with Children,2017,Dollars,57796.40028,10026
Zip Code 10026,All Households,2017,Dollars,56682.54432,10026
Zip Code 10026,Families,2017,Dollars,62662.741,10026
Zip Code 10026,Families without Children,2018,Dollars,62816.85641,10026
Zip Code 10026,Families,2018,Dollars,61609.36858,10026
Zip Code 10026,Families without Children,2019,Dollars,65399,10026
Zip Code 10027,Families without Children,2019,Dollars,57456,10027
Zip Code 10027,Families with Children,2018,Dollars,59737.04976,10027
Zip Code 10027,Families,2019,Dollars,58680,10027
Zip Code 10027,Families with Children,2019,Dollars,59837,10027
Zip Code 10027,Families,2018,Dollars,55062.87047,10027
Zip Code 10027,Families without Children,2017,Dollars,54231.64404,10027
Zip Code 10027,Families,2017,Dollars,53927.10665,10027
Zip Code 10027,Families with Children,2017,Dollars,53225.21053,10027
Zip Code 10027,Families without Children,2018,Dollars,52248.79259,10027
Zip Code 10027,All Households,2019,Dollars,51938,10027
Zip Code 10027,All Households,2017,Dollars,47491.14681,10027
Zip Code 10027,All Households,2018,Dollars,46948.4708,10027
Zip Code 10028,Families without Children,2017,Dollars,199244.6343,10028
Zip Code 10028,Families without Children,2019,Dollars,200524,10028
Zip Code 10028,Families without Children,2018,Dollars,200460.288,10028
Zip Code 10028,Families with Children,2019,Dollars,250001,10028
Zip Code 10028,Families,2017,Dollars,221812.7327,10028
Zip Code 10028,Families,2019,Dollars,237537,10028
Zip Code 10028,Families,2018,Dollars,240594.4957,10028
Zip Code 10028,Families with Children,2017,Dollars,260735.115,10028
Zip Code 10028,Families with Children,2018,Dollars,254530.4935,10028
Zip Code 10028,All Households,2018,Dollars,127407.2742,10028
Zip Code 10028,All Households,2019,Dollars,122969,10028
Zip Code 10028,All Households,2017,Dollars,124321.1343,10028
Zip Code 10029,Families without Children,2017,Dollars,47229.36981,10029
Zip Code 10029,Families without Children,2018,Dollars,45432.49324,10029
Zip Code 10029,Families without Children,2019,Dollars,48020,10029
Zip Code 10029,All Households,2017,Dollars,35475.47784,10029
Zip Code 10029,Families,2018,Dollars,39993.70741,10029
Zip Code 10029,Families,2019,Dollars,39845,10029
Zip Code 10029,Families,2017,Dollars,41000.95429,10029
Zip Code 10029,All Households,2018,Dollars,34632.29854,10029
Zip Code 10029,All Households,2019,Dollars,33720,10029
Zip Code 10029,Families with Children,2017,Dollars,33640.95291,10029
Zip Code 10029,Families with Children,2019,Dollars,32484,10029
Zip Code 10029,Families with Children,2018,Dollars,32405.67469,10029
Zip Code 10030,Families with Children,2019,Dollars,41500,10030
Zip Code 10030,Families with Children,2018,Dollars,41498.48567,10030
Zip Code 10030,Families with Children,2017,Dollars,41497.39197,10030
Zip Code 10030,All Households,2019,Dollars,42348,10030
Zip Code 10030,All Households,2018,Dollars,37906.56571,10030
Zip Code 10030,All Households,2017,Dollars,37668.77285,10030
Zip Code 10030,Families,2018,Dollars,50493.55733,10030
Zip Code 10030,Families,2017,Dollars,45628.4626,10030
Zip Code 10030,Families,2019,Dollars,53586,10030
Zip Code 10030,Families without Children,2018,Dollars,60206.40211,10030
Zip Code 10030,Families without Children,2017,Dollars,56306.04432,10030
Zip Code 10030,Families without Children,2019,Dollars,65152,10030
Zip Code 10031,Families without Children,2019,Dollars,59748,10031
Zip Code 10031,All Households,2019,Dollars,53660,10031
Zip Code 10031,Families,2019,Dollars,54699,10031
Zip Code 10031,Families without Children,2018,Dollars,54318.62628,10031
Zip Code 10031,Families without Children,2017,Dollars,52988.46399,10031
Zip Code 10031,Families,2018,Dollars,51740.75176,10031
Zip Code 10031,All Households,2018,Dollars,50794.92023,10031
Zip Code 10031,All Households,2017,Dollars,45930.91413,10031
Zip Code 10031,Families with Children,2019,Dollars,50643,10031
Zip Code 10031,Families,2017,Dollars,48001.14266,10031
Zip Code 10031,Families with Children,2018,Dollars,42245.78421,10031
Zip Code 10031,Families with Children,2017,Dollars,40138.44598,10031
Zip Code 10032,Families with Children,2018,Dollars,42053.35992,10032
Zip Code 10032,Families with Children,2017,Dollars,37411.16759,10032
Zip Code 10032,Families,2017,Dollars,48814.63296,10032
Zip Code 10032,Families with Children,2019,Dollars,44799,10032
Zip Code 10032,All Households,2017,Dollars,43688.60111,10032
Zip Code 10032,All Households,2018,Dollars,51303.97918,10032
Zip Code 10032,Families,2018,Dollars,55389.68632,10032
Zip Code 10032,All Households,2019,Dollars,53525,10032
Zip Code 10032,Families,2019,Dollars,58919,10032
Zip Code 10032,Families without Children,2018,Dollars,60349.95673,10032
Zip Code 10032,Families without Children,2017,Dollars,58263.63573,10032
Zip Code 10032,Families without Children,2019,Dollars,63411,10032
Zip Code 10033,All Households,2019,Dollars,63093,10033
Zip Code 10033,Families with Children,2017,Dollars,61011.77285,10033
Zip Code 10033,Families,2018,Dollars,60998.49784,10033
Zip Code 10033,Families without Children,2019,Dollars,64422,10033
Zip Code 10033,Families with Children,2018,Dollars,64409.19281,10033
Zip Code 10033,Families without Children,2018,Dollars,60247.12683,10033
Zip Code 10033,Families,2017,Dollars,58965.53186,10033
Zip Code 10033,Families without Children,2017,Dollars,58559.82964,10033
Zip Code 10033,All Households,2018,Dollars,59675.96268,10033
Zip Code 10033,All Households,2017,Dollars,55321.51247,10033
Zip Code 10033,Families,2019,Dollars,66075,10033
Zip Code 10033,Families with Children,2019,Dollars,74659,10033
Zip Code 10034,All Households,2018,Dollars,55707.3391,10034
Zip Code 10034,All Households,2017,Dollars,53094.84349,10034
Zip Code 10034,Families,2017,Dollars,53918.76316,10034
Zip Code 10034,All Households,2019,Dollars,54406,10034
Zip Code 10034,Families with Children,2019,Dollars,51677,10034
Zip Code 10034,Families with Children,2018,Dollars,52698.8007,10034
Zip Code 10034,Families with Children,2017,Dollars,48180.5277,10034
Zip Code 10034,Families without Children,2019,Dollars,60904,10034
Zip Code 10034,Families,2019,Dollars,56284,10034
Zip Code 10034,Families,2018,Dollars,56673.53299,10034
Zip Code 10034,Families without Children,2018,Dollars,61799.75663,10034
Zip Code 10034,Families without Children,2017,Dollars,62335.259,10034
Zip Code 10035,Families,2018,Dollars,37458.59383,10035
Zip Code 10035,Families,2019,Dollars,36645,10035
Zip Code 10035,Families,2017,Dollars,35710.1385,10035
Zip Code 10035,Families without Children,2017,Dollars,39280.10942,10035
Zip Code 10035,Families without Children,2019,Dollars,41685,10035
Zip Code 10035,Families without Children,2018,Dollars,40056.83072,10035
Zip Code 10035,Families with Children,2017,Dollars,32036.9169,10035
Zip Code 10035,All Households,2018,Dollars,30626.0046,10035
Zip Code 10035,All Households,2019,Dollars,29799,10035
Zip Code 10035,Families with Children,2018,Dollars,33308.74527,10035
Zip Code 10035,All Households,2017,Dollars,29131.2964,10035
Zip Code 10035,Families with Children,2019,Dollars,28300,10035
Zip Code 10036,Families with Children,2019,Dollars,84337,10036
Zip Code 10036,Families,2019,Dollars,112342,10036
Zip Code 10036,Families,2017,Dollars,151225.7618,10036
Zip Code 10036,Families without Children,2019,Dollars,151719,10036
Zip Code 10036,Families,2018,Dollars,154687.7434,10036
Zip Code 10036,Families without Children,2017,Dollars,160420.2881,10036
Zip Code 10036,Families without Children,2018,Dollars,172137.2661,10036
Zip Code 10036,All Households,2018,Dollars,93601.6874,10036
Zip Code 10036,All Households,2017,Dollars,97730.43075,10036
Zip Code 10036,All Households,2019,Dollars,95301,10036
Zip Code 10036,Families with Children,2018,Dollars,101840.2975,10036
Zip Code 10036,Families with Children,2017,Dollars,101034.4529,10036
Zip Code 10037,Families without Children,2019,Dollars,68094,10037
Zip Code 10037,Families without Children,2018,Dollars,59058.98323,10037
Zip Code 10037,Families without Children,2017,Dollars,47816.54294,10037
Zip Code 10037,All Households,2018,Dollars,45857.0484,10037
Zip Code 10037,All Households,2019,Dollars,46263,10037
Zip Code 10037,Families,2018,Dollars,46967.81504,10037
Zip Code 10037,Families,2019,Dollars,51536,10037
Zip Code 10037,Families with Children,2017,Dollars,28932.09557,10037
Zip Code 10037,Families with Children,2019,Dollars,33839,10037
Zip Code 10037,Families with Children,2018,Dollars,33738.39102,10037
Zip Code 10037,All Households,2017,Dollars,41695.54986,10037
Zip Code 10037,Families,2017,Dollars,38784.71468,10037
Zip Code 10038,Families without Children,2017,Dollars,83826.00416,10038
Zip Code 10038,All Households,2018,Dollars,87617.19037,10038
Zip Code 10038,Families without Children,2019,Dollars,88095,10038
Zip Code 10038,Families,2018,Dollars,88841.98621,10038
Zip Code 10038,All Households,2017,Dollars,88682.95845,10038
Zip Code 10038,Families without Children,2018,Dollars,82669.13737,10038
Zip Code 10038,All Households,2019,Dollars,95702,10038
Zip Code 10038,Families,2019,Dollars,93156,10038
Zip Code 10038,Families,2017,Dollars,94299.17036,10038
Zip Code 10038,Families with Children,2019,Dollars,146473,10038
Zip Code 10038,Families with Children,2018,Dollars,144318.2125,10038
Zip Code 10038,Families with Children,2017,Dollars,120766.8075,10038
Zip Code 10039,Families without Children,2018,Dollars,54195.43402,10039
Zip Code 10039,Families without Children,2019,Dollars,53777,10039
Zip Code 10039,Families without Children,2017,Dollars,55425.80609,10039
Zip Code 10039,Families,2019,Dollars,44253,10039
Zip Code 10039,Families,2018,Dollars,45014.04678,10039
Zip Code 10039,Families with Children,2019,Dollars,38400,10039
Zip Code 10039,All Households,2017,Dollars,35665.29224,10039
Zip Code 10039,All Households,2019,Dollars,42278,10039
Zip Code 10039,All Households,2018,Dollars,40371.42915,10039
Zip Code 10039,Families,2017,Dollars,40824.69806,10039
Zip Code 10039,Families with Children,2018,Dollars,40616.79557,10039
Zip Code 10039,Families with Children,2017,Dollars,32141.21053,10039
Zip Code 10040,Families with Children,2017,Dollars,44560.49584,10040
Zip Code 10040,Families with Children,2018,Dollars,47160.23932,10040
Zip Code 10040,All Households,2018,Dollars,47991.02353,10040
Zip Code 10040,Families with Children,2019,Dollars,50405,10040
Zip Code 10040,All Households,2019,Dollars,49677,10040
Zip Code 10040,All Households,2017,Dollars,49215.1205,10040
Zip Code 10040,Families,2018,Dollars,53827.89346,10040
Zip Code 10040,Families,2017,Dollars,51711.90997,10040
Zip Code 10040,Families without Children,2017,Dollars,56287.27147,10040
Zip Code 10040,Families,2019,Dollars,56530,10040
Zip Code 10040,Families without Children,2018,Dollars,58089.73499,10040
Zip Code 10040,Families without Children,2019,Dollars,61463,10040
Zip Code 10044,Families,2019,Dollars,121453,10044
Zip Code 10044,Families,2018,Dollars,127901.0614,10044
Zip Code 10044,Families,2017,Dollars,131544.5111,10044
Zip Code 10044,Families with Children,2017,Dollars,174039.9931,10044
Zip Code 10044,Families with Children,2019,Dollars,165431,10044
Zip Code 10044,Families with Children,2018,Dollars,181224.9865,10044
Zip Code 10044,All Households,2017,Dollars,96599.88781,10044
Zip Code 10044,All Households,2018,Dollars,102260.7802,10044
Zip Code 10044,All Households,2019,Dollars,104808,10044
Zip Code 10044,Families without Children,2018,Dollars,110456.6293,10044
Zip Code 10044,Families without Children,2019,Dollars,111228,10044
Zip Code 10044,Families without Children,2017,Dollars,109803.4612,10044
Zip Code 10065,All Households,2019,Dollars,148441,10065
Zip Code 10065,All Households,2018,Dollars,129682.7677,10065
Zip Code 10065,All Households,2017,Dollars,129659.9252,10065
Zip Code 10065,Families with Children,2017,Dollars,239875.3463,10065
Zip Code 10065,Families,2018,Dollars,232469.9148,10065
Zip Code 10065,Families with Children,2019,Dollars,250001,10065
Zip Code 10065,Families,2019,Dollars,246005,10065
Zip Code 10065,Families with Children,2018,Dollars,241025.1595,10065
Zip Code 10065,Families without Children,2019,Dollars,217072,10065
Zip Code 10065,Families without Children,2018,Dollars,218810.8451,10065
Zip Code 10065,Families,2017,Dollars,218161.4127,10065
Zip Code 10065,Families without Children,2017,Dollars,214266.0457,10065
Zip Code 10069,Families,2019,Dollars,200150,10069
Zip Code 10069,Families,2017,Dollars,190650.8393,10069
